epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,23.2384,4.41828,16.2693,4.93698,0,0,0,0,4.06934,8.69681,3.4002,2.7222e-05,2.7222e-05,2.7222e-05
68,23.5842,4.32486,16.8729,4.15331,0,0,0,0,4.06934,8.69681,3.4002,2.68451e-05,2.68451e-05,2.68451e-05
69,23.9353,4.67675,21.5397,4.72381,0,0,0,0,4.14967,8.53523,3.50975,2.64447e-05,2.64447e-05,2.64447e-05
70,24.274,5.67504,78.6325,5.43394,0,0,0,0,4.14967,8.53523,3.50975,2.60207e-05,2.60207e-05,2.60207e-05
71,24.618,4.30556,15.7051,4.48755,0,0,0,0,4.14967,8.53523,3.50975,2.55731e-05,2.55731e-05,2.55731e-05
72,24.9704,4.53634,27.2095,4.70007,0,0,0,0,4.26184,8.18786,3.64254,2.5102e-05,2.5102e-05,2.5102e-05
73,25.3068,4.63184,21.6186,5.76577,0,0,0,0,4.26184,8.18786,3.64254,2.46073e-05,2.46073e-05,2.46073e-05
74,25.6432,4.88613,23.0481,6.30799,0,0,0,0,4.26184,8.18786,3.64254,2.40891e-05,2.40891e-05,2.40891e-05
75,26.0023,5.22829,38.9413,5.48229,0,0,0,0,4.32454,7.3857,3.76485,2.35472e-05,2.35472e-05,2.35472e-05
76,26.3433,4.83258,25.5923,5.47974,0,0,0,0,4.32454,7.3857,3.76485,2.29819e-05,2.29819e-05,2.29819e-05
77,26.6867,4.05687,24.3045,4.62136,0,0,0,0,4.32454,7.3857,3.76485,2.23929e-05,2.23929e-05,2.23929e-05
78,27.0471,4.55339,18.7368,6.08565,0,0,0,0,4.39228,7.20865,3.86337,2.17805e-05,2.17805e-05,2.17805e-05
79,27.3957,4.40937,18.8871,4.54391,0,0,0,0,4.39228,7.20865,3.86337,2.11444e-05,2.11444e-05,2.11444e-05
